theater,title,date,time,link,poster
Brattle,RPM Fest presents Peggy Ahwesh,10-19,8:00 PM,https://brattlefilm.org/special_events/rpm-fest-presents-peggy-ahwesh/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/08161445/rpm-fest-filmbot-poster-1-copy.jpg
Brattle,The Faculty,10-21,4:45 PM,https://brattlefilm.org/movies/the-faculty/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135247/l0rz4vB0FfxraTd1mLGoaydSQd1-scaled.jpg
Brattle,The Faculty,10-21,9:00 PM,https://brattlefilm.org/movies/the-faculty/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135247/l0rz4vB0FfxraTd1mLGoaydSQd1-scaled.jpg
Brattle,Slash/Back,10-21,7:00 PM,https://brattlefilm.org/movies/slash-back/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31133450/cPIv1GTZJokL5TasJxFfVNG9TiM.jpg
Brattle,Men in Black,10-22,12:30 PM,https://brattlefilm.org/movies/men-in-black/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135500/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg
Brattle,Men in Black,10-22,2:45 PM,https://brattlefilm.org/movies/men-in-black/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135500/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg
Brattle,Men in Black,10-22,7:00 PM,https://brattlefilm.org/movies/men-in-black/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135500/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg
Brattle,The Thing from Another World,10-23,12:00 PM,https://brattlefilm.org/movies/the-thing-from-another-world/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135554/rm2w8dEhOGDuckB6i0Spz9lTzpR.jpg
Brattle,The Thing from Another World,10-23,4:00 PM,https://brattlefilm.org/movies/the-thing-from-another-world/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135554/rm2w8dEhOGDuckB6i0Spz9lTzpR.jpg
Brattle,Slither,10-24,4:45 PM,https://brattlefilm.org/movies/slither/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135729/7D4ZS7LUnc89ptIt0yW7L4SYPOG.jpg
Brattle,Slither,10-24,9:00 PM,https://brattlefilm.org/movies/slither/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135729/7D4ZS7LUnc89ptIt0yW7L4SYPOG.jpg
Brattle,Attack the Block,10-25,5:00 PM,https://brattlefilm.org/movies/attack-the-block/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135824/wzCMnA6NDruLzgWeqMcLPDrGAdF-scaled.jpg
Brattle,Attack the Block,10-25,9:00 PM,https://brattlefilm.org/movies/attack-the-block/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31135824/wzCMnA6NDruLzgWeqMcLPDrGAdF-scaled.jpg
Brattle,Evil Dead II,10-31,9:30 PM,https://brattlefilm.org/movies/evil-dead-ii/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31144251/4zqCKJVHUolGs6C5AZwAZqLWixW.jpg
