,theater,poster,exact_match,title,year,date,time,link,score,rt_link
196,Coolidge,"<img src=""https://resizing.flixster.com/JLhrvZpr2GtVIoVGbC8hZHGjut0=/fit-in/80x126/v2/https://resizing.flixster.com/5IYYj4UmhM5oQyJ0g5O1wZLovdc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZkZTU4Y2Y1LTY4NjMtNGU3YS05NTQ4LTE3MjNhZDc5ZjFlZi5qcGc="">", ,Saltburn,2023,11-26,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=835218~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,81.0,<a href=https://www.rottentomatoes.com/m/saltburn>🍅</a>
211,Brattle,"<img src=""https://resizing.flixster.com/EavpbVEwatRALIqico4Ojx-6Mik=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p2874_p_v8_aa.jpg"">", ,The Anderson Tapes,1971,11-26,"7:00 PM
",<a href=https://brattlefilm.org/movies/the-anderson-tapes/>🎟️</a>,76.0,<a href=https://www.rottentomatoes.com/m/anderson_tapes>🍅</a>
183,Coolidge,"<img src=""https://resizing.flixster.com/GNvDy44Mo709BCL7YCKhuyvE7PQ=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/141684/141684_aa.jpg"">",?,Napoleon in 70mm,2015,11-26,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834564~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,91.0,<a href=https://www.rottentomatoes.com/m/the_martian>🍅</a>
213,Brattle,"<img src=""https://resizing.flixster.com/Wgo8UfiG-O8WxAflrooExNRIbvE=/fit-in/80x126/v2/https://resizing.flixster.com/l6vKrc8314FP6_QUUpojYHyqJr8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA4ODc2NWQ2LWZhZDUtNGI4ZS1iMmVlLWE5MmRmZDc5MWYyNi53ZWJw"">", ,The Conversation,1974,11-26,9:00 PM,<a href=https://brattlefilm.org/movies/the-conversation/>🎟️</a>,97.0,<a href=https://www.rottentomatoes.com/m/the_conversation>🍅</a>
214,Brattle,"<img src=""https://resizing.flixster.com/UoC2cJMWp64TPfDDyePOm3cqtac=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16785_p_v11_af.jpg"">", ,Johnny Mnemonic,1995,11-27,4:45 PM,<a href=https://brattlefilm.org/movies/johnny-mnemonic/>🎟️</a>,18.0,<a href=https://www.rottentomatoes.com/m/johnny_mnemonic>🍅</a>
216,Coolidge,"<img src=""https://resizing.flixster.com/ysANeE_F9QnBNSHtell3EKktiXA=/fit-in/80x126/v2/https://resizing.flixster.com/Mo3qsby3asQ0RB0pO5pFfkX5eBs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JhNjg1NDMwLTFjZjctNGZiNi04NDRhLTExNGI3ZWQzNGM2MC5qcGc="">",?,"Seminar: The Night of the Hunter


















Part of Seminar: The Night of the Hunter",2022,11-27,6:15 PM,<a href=https://store.coolidge.org/websales/pages/entrypoint.aspx?guid=360245f5-a1f9-450f-8ca6-8834ea62c575&amp;>🎟️</a>,94.0,<a href=https://www.rottentomatoes.com/m/the_night_of_the_12th>🍅</a>
217,Coolidge,"<img src=""https://resizing.flixster.com/LZeQjLh11HBtH2EFKgBMrULerog=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4360_p_v8_az.jpg"">",?,"The Night of the Hunter


















Part of Seminar: The Night of the Hunter",1955,11-27,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=831688~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,93.0,<a href=https://www.rottentomatoes.com/m/night_of_the_hunter>🍅</a>
218,Brattle,"<img src=""https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif"">", ,The Net,2016,11-27,"7:00 PM
",<a href=https://brattlefilm.org/movies/the-net/>🎟️</a>,83.0,<a href=https://www.rottentomatoes.com/m/the_net_2016>🍅</a>
184,Coolidge,"<img src=""https://resizing.flixster.com/GNvDy44Mo709BCL7YCKhuyvE7PQ=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/141684/141684_aa.jpg"">",?,Napoleon in 70mm,2015,11-27,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834565~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,91.0,<a href=https://www.rottentomatoes.com/m/the_martian>🍅</a>
215,Brattle,"<img src=""https://resizing.flixster.com/UoC2cJMWp64TPfDDyePOm3cqtac=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16785_p_v11_af.jpg"">", ,Johnny Mnemonic,1995,11-27,9:30 PM,<a href=https://brattlefilm.org/movies/johnny-mnemonic/>🎟️</a>,18.0,<a href=https://www.rottentomatoes.com/m/johnny_mnemonic>🍅</a>
185,Coolidge,"<img src=""https://resizing.flixster.com/GNvDy44Mo709BCL7YCKhuyvE7PQ=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/141684/141684_aa.jpg"">",?,Napoleon in 70mm,2015,11-28,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834566~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,91.0,<a href=https://www.rottentomatoes.com/m/the_martian>🍅</a>
219,Brattle,"<img src=""https://resizing.flixster.com/xtJTGkFEnA88nZ6Xqpb9OPZHBA8=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11007806_p_v8_ag.jpg"">", ,Ex Machina,2014,11-28,9:00 PM,<a href=https://brattlefilm.org/movies/ex-machina/>🎟️</a>,92.0,<a href=https://www.rottentomatoes.com/m/ex_machina>🍅</a>
220,Brattle,"<img src=""https://resizing.flixster.com/e_onJNJXwQ2JIHu-yBvF-UcE-jY=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18690642_p_v8_ac.jpg"">",?,Possessor,2020,11-29,4:45 PM,<a href=https://brattlefilm.org/movies/possessor-uncut/>🎟️</a>,94.0,<a href=https://www.rottentomatoes.com/m/possessor_uncut>🍅</a>
222,Brattle,"<img src=""https://resizing.flixster.com/PW-dK_BU9vP7YY2PmVgCEeAdg6Q=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1703_p_v8_aa.jpg"">", ,Seconds,1966,11-29,7:00 PM,<a href=https://brattlefilm.org/movies/seconds/>🎟️</a>,79.0,<a href=https://www.rottentomatoes.com/m/seconds>🍅</a>
223,Coolidge,"<img src=""https://resizing.flixster.com/ql8Olv8YIFV_yzVVlVxAKsYvgzY=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8584_p_v8_aa.jpg"">", ,Blood Simple,1984,11-29,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=831690~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,93.0,<a href=https://www.rottentomatoes.com/m/blood_simple>🍅</a>
186,Coolidge,"<img src=""https://resizing.flixster.com/GNvDy44Mo709BCL7YCKhuyvE7PQ=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/141684/141684_aa.jpg"">",?,Napoleon in 70mm,2015,11-29,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834568~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,91.0,<a href=https://www.rottentomatoes.com/m/the_martian>🍅</a>
221,Brattle,"<img src=""https://resizing.flixster.com/e_onJNJXwQ2JIHu-yBvF-UcE-jY=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18690642_p_v8_ac.jpg"">",?,Possessor,2020,11-29,9:15 PM,<a href=https://brattlefilm.org/movies/possessor-uncut/>🎟️</a>,94.0,<a href=https://www.rottentomatoes.com/m/possessor_uncut>🍅</a>
224,Brattle,"<img src=""https://resizing.flixster.com/I3WC6f-Hi678HWR-PFyM6CT9rkY=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18933_p_v8_af.jpg"">", ,Lost Highway,1997,11-30,3:45 PM,<a href=https://brattlefilm.org/movies/lost-highway/>🎟️</a>,68.0,<a href=https://www.rottentomatoes.com/m/lost_highway>🍅</a>
226,Coolidge,"<img src=""https://resizing.flixster.com/Ny8pyXHZPcLe6-VnE8QquXrn3qg=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p449_p_v13_ag.jpg"">",?,"Seminar: Bringing Up Baby


















Part of Seminar: Bringing Up Baby",1938,11-30,6:15 PM,<a href=https://store.coolidge.org/websales/pages/entrypoint.aspx?guid=b4cee8d0-4795-47ee-a428-1be894647532&amp;>🎟️</a>,97.0,<a href=https://www.rottentomatoes.com/m/bringing_up_baby>🍅</a>
227,Brattle,"<img src=""https://resizing.flixster.com/Bc1khxruCbNqP-UrxQima3DTExI=/fit-in/80x126/v2/https://resizing.flixster.com/FKw4PdLMa2UC7F3CHRYpRA8B-ys=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2MzZjI5ODcwLWIxOGItNDAzOC04ODljLTdjOWMwMDExMjU3Mi5qcGc="">",?,Caché,2021,11-30,"6:30 PM
",<a href=https://brattlefilm.org/movies/cache/>🎟️</a>,93.0,<a href=https://www.rottentomatoes.com/m/catch_the_fair_one>🍅</a>
228,Coolidge,"<img src=""https://resizing.flixster.com/Ny8pyXHZPcLe6-VnE8QquXrn3qg=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p449_p_v13_ag.jpg"">",?,"Bringing Up Baby


















Part of Seminar: Bringing Up Baby",1938,11-30,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=819809~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,97.0,<a href=https://www.rottentomatoes.com/m/bringing_up_baby>🍅</a>
229,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,11-30,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829920~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
225,Brattle,"<img src=""https://resizing.flixster.com/I3WC6f-Hi678HWR-PFyM6CT9rkY=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18933_p_v8_af.jpg"">", ,Lost Highway,1997,11-30,9:00 PM,<a href=https://brattlefilm.org/movies/lost-highway/>🎟️</a>,68.0,<a href=https://www.rottentomatoes.com/m/lost_highway>🍅</a>
240,Coolidge,"<img src=""https://resizing.flixster.com/u2mywfmQr18AuTeuXBXR1dZ5Mjc=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3946_p_v8_ad.jpg"">", ,Night of the Living Dead,1968,12-01,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834821~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,95.0,<a href=https://www.rottentomatoes.com/m/night_of_the_living_dead>🍅</a>
230,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-01,3:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829917~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
241,Brattle,"<img src=""https://resizing.flixster.com/iglr7hytSK8pNKCqUdbrjCkABYM=/fit-in/80x126/v2/https://resizing.flixster.com/exseDqOfv5XjHWT4eJA7PEY6Mo0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg4OGNjNTEyLTUyMTUtNGIzMi1hYmU3LTM3MTg1ZTE3ZTYwOS5qcGc="">",?,Victims of Sin,1950,12-01,4:00 PM,<a href=https://brattlefilm.org/movies/victims-of-sin/>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/victims_of_sin>🍅</a>
231,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-01,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829918~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
242,Brattle,"<img src=""https://resizing.flixster.com/pIqKS6nbcCqpGmHK5VquPsEf_Mo=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p78736_p_v8_aa.jpg"">", ,Messiah of Evil,1975,12-01,"9:00 PM
",<a href=https://brattlefilm.org/movies/messiah-of-evil/>🎟️</a>,100.0,<a href=https://www.rottentomatoes.com/m/messiah_of_evil>🍅</a>
243,Coolidge,"<img src=""https://resizing.flixster.com/OWEZhBRp4N9dcLhWhP5MVie5_t8=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p20420285_p_v13_aa.jpg"">",?,The BJ Hickman Magic Show,2020,12-02,10:30 AM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=824064~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,79.0,<a href=https://www.rottentomatoes.com/m/the_show_2020>🍅</a>
244,Coolidge,"<img src=""https://resizing.flixster.com/zHmsherWVv13JOTVOgokKxEyTeM=/fit-in/80x126/v2/https://resizing.flixster.com/TigkmjqACahOlz2FgxBEgKYyzzA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdiZTRjMmFkLTAyNzYtNDQyZS04MjQ3LTJhNDY2YTNhZmUxNC5qcGc="">", ,The Evil Dead,1981,12-02,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834816~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,86.0,<a href=https://www.rottentomatoes.com/m/the_evil_dead>🍅</a>
232,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-02,3:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829921~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
233,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-02,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829916~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
245,Brattle,"<img src=""https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif"">",?,RPM Festival Presents: Recent Works by Douglas Urbank,2012,12-03,2:00 PM,<a href=https://brattlefilm.org/special_events/rpm-festival-presents-recent-works-by-douglas-urbank/>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/migration_2012>🍅</a>
234,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-03,3:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829922~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
235,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-03,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829919~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
246,Coolidge,"<img src=""https://resizing.flixster.com/n5Gu0dNeiBi_N6j-1kpyzP-s3_8=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7227_p_v8_aa.jpg"">", ,Being There,1979,12-04,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=819810~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,95.0,<a href=https://www.rottentomatoes.com/m/being_there>🍅</a>
247,Brattle,"<img src=""https://resizing.flixster.com/hYJh0JZM44XedCtqlDvKlvBhLro=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/79315/79315_aa.jpg"">", ,Fantastic Mr. Fox,2009,12-05,"4:45 PM
",<a href=https://brattlefilm.org/movies/fantastic-mr-fox/>🎟️</a>,93.0,<a href=https://www.rottentomatoes.com/m/1197696-fantastic_mr_fox>🍅</a>
249,Coolidge,"<img src=""https://resizing.flixster.com/jE7wQDYaA1LW677MjnKEA24IZbw=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p66576_p_v8_aa.jpg"">", ,Following,1998,12-05,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834489~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,84.0,<a href=https://www.rottentomatoes.com/m/following>🍅</a>
250,Brattle,"<img src=""https://resizing.flixster.com/MDlnn-c0Wbu-_N7w7X2FUWoqqJ4=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17892_p_v8_ad.jpg"">", ,James and the Giant Peach,1996,12-05,"7:00 PM
",<a href=https://brattlefilm.org/movies/james-and-the-giant-peach/>🎟️</a>,91.0,<a href=https://www.rottentomatoes.com/m/james_and_the_giant_peach>🍅</a>
251,Brattle,"<img src=""https://resizing.flixster.com/aRWOPr0SHLFZUkmWPBJ6O-dqk6Q=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18307_p_v8_an.jpg"">", ,Matilda,1996,12-06,4:45 PM,<a href=https://brattlefilm.org/movies/matilda/>🎟️</a>,92.0,<a href=https://www.rottentomatoes.com/m/1072107-matilda>🍅</a>
253,Brattle,"<img src=""https://resizing.flixster.com/FJKbtbubLwnCbpTU-9LwfxL2TBU=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/41401/41401_aa.jpg"">", ,The Witches,1990,12-06,7:00 PM,<a href=https://brattlefilm.org/movies/the-witches/>🎟️</a>,94.0,<a href=https://www.rottentomatoes.com/m/the_witches>🍅</a>
254,Coolidge,"<img src=""https://resizing.flixster.com/otiKvyVk4kXkdfbQR6yj6Loh88g=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/1793/1793_aa.jpg"">", ,This is Spinal Tap,1984,12-06,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834494~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,96.0,<a href=https://www.rottentomatoes.com/m/this_is_spinal_tap>🍅</a>
255,Coolidge,"<img src=""https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif"">",?,"Seminar: Eraserhead


















Part of Seminar: Eraserhead",1989,12-07,6:15 PM,<a href=https://store.coolidge.org/websales/pages/entrypoint.aspx?guid=b0aaed03-a2dd-4037-b4f0-4a5a4db851fa&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/perry-mason-the-case-of-the-lethal-lesson>🍅</a>
256,Coolidge,"<img src=""https://resizing.flixster.com/6CJeOuqsA1lnFhcjc3fOZtbdSYM=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p42040_p_v8_aa.jpg"">",?,"Eraserhead


















Part of Seminar: Eraserhead",1977,12-07,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834485~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,90.0,<a href=https://www.rottentomatoes.com/m/eraserhead>🍅</a>
236,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-07,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829923~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
257,Coolidge,"<img src=""https://resizing.flixster.com/pukbRIXcFBQKyV_kIpXnCHCrwyY=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8116000_p_v8_ab.jpg"">",?,Lupin the 3rd: The Castle of Cagliostro,1979,12-08,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834823~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,95.0,<a href=https://www.rottentomatoes.com/m/lupin_iii_the_castle_of_cagliostro>🍅</a>
258,Brattle,"<img src=""https://resizing.flixster.com/PBcpQv_jUKuq_iYQ1egLCKyMaEY=/fit-in/80x126/v2/https://resizing.flixster.com/03sYgvaSfdVQ3vW-RfwI7eBGkvw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzllZjQzNTA1LWNhNjMtNDRjMi05ZmJmLWZmNTc2NjIxNzdhYy5qcGc="">", ,"Orlando, My Political Biography",2023,12-08,"7:00 PM
",<a href=https://brattlefilm.org/movies/orlando-my-political-biography/>🎟️</a>,90.0,<a href=https://www.rottentomatoes.com/m/orlando_my_political_biography>🍅</a>
237,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-08,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829926~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
260,Coolidge,"<img src=""https://resizing.flixster.com/oIuhaO9vxodWXdrDy-BQV7ldeHE=/fit-in/80x126/v2/https://resizing.flixster.com/0HphTTj6V28eBZbRMA2xxqvDp6Y=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FmNDIzOTEzLTcyYmYtNDBjZS05ZjZkLTJiYmE3Y2QxZmJlMy53ZWJw"">",?,Matt Heaton & the Outside Toys,2017,12-09,10:30 AM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=824062~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,85.0,<a href=https://www.rottentomatoes.com/m/scotty_and_the_secret_history_of_hollywood>🍅</a>
