title,poster,year,cast,score,cert,rt_link,exact_match,query_str,listing_title
Blue Velvet,https://resizing.flixster.com/xuEJU33GAd9_iMLpnKaIqoUflow=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p9492_p_v8_af.jpg,1986,"Kyle MacLachlan,Isabella Rossellini,Dennis Hopper",95,certified-fresh,https://www.rottentomatoes.com/m/blue_velvet,True,Blue Velvet |,Blue Velvet
Enter the Dragon,https://resizing.flixster.com/lfbAIsdWzlEifmtAzej7P6INiv8=/fit-in/80x126/v2/https://resizing.flixster.com/jCJyYHymmIIybP3qtO288TWwA80=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ3MWEzZDRjLTFkMmEtNDMxMy1iZWEwLTQ0MWFlZTMzNzlmNi5qcGc=,1973,"Bruce Lee,John Saxon,Jim Kelly",88,certified-fresh,https://www.rottentomatoes.com/m/enter_the_dragon,True,Enter the Dragon |,Enter the Dragon
The Spirit of the Beehive,https://resizing.flixster.com/uIa_MdhS5BByzbF9E2tIBNGM5iE=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p42283_v_v12_ae.jpg,1973,"Fernando Fernán Gómez,Teresa Gimpera,Ana Torrent",96,fresh,https://www.rottentomatoes.com/m/spirit_of_the_beehive,True,The Spirit of the Beehive |,The Spirit of the Beehive
Bicycle Thieves,https://resizing.flixster.com/IYNY1qvwvtS1ITyLYL6w03vdPDI=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p7480_p_v7_ae.jpg,1948,"Lamberto Maggiorani,Lianella Carell,Enzo Staiola",99,certified-fresh,https://www.rottentomatoes.com/m/bicycle_thieves,True,Bicycle Thieves |,Bicycle Thieves
Twin Peaks: Fire Walk With Me,https://resizing.flixster.com/WMQCyleGO-PG7yqkNVWtyZfJDZ8=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p13997_p_v8_ag.jpg,1992,"Kyle MacLachlan,Sheryl Lee,Moira Kelly",64,fresh,https://www.rottentomatoes.com/m/twin-peaks-fire-walk-with-me,False,Twin Peaks Fire Walk With |,Twin Peaks Fire Walk With
A Foreign Affair,https://resizing.flixster.com/ohFgJfG37BZ8K0ELjjfjDOJZhRo=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p1914_p_v10_aa.jpg,1948,"Jean Arthur,Marlene Dietrich,John Lund",100,fresh,https://www.rottentomatoes.com/m/a_foreign_affair,True,A Foreign Affair |,A Foreign Affair
The Red Shoes,https://resizing.flixster.com/xgfXr31jg43blowcUhUv5TTtCIo=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p3906_p_v8_ae.jpg,1948,"Moira Shearer,Anton Walbrook,Marius Goring",97,certified-fresh,https://www.rottentomatoes.com/m/1017346-red_shoes,True,The Red Shoes |,The Red Shoes
Fantastic Planet,https://resizing.flixster.com/2YiQZUfyPJ6wrSpimlkNFLdHG3k=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p7324_p_v10_ac.jpg,1973,"Barry Bostwick,Mark Gruner,Marvin Miller",91,fresh,https://www.rottentomatoes.com/m/fantastic_planet,True,Fantastic Planet |,Fantastic Planet
The Limits of Control,https://resizing.flixster.com/5lF_7pqNYyFhTH7Itto77f0UVMM=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p194176_p_v8_ab.jpg,2009,"Isaach de Bankolé,Gael García Bernal,Tilda Swinton",43,rotten,https://www.rottentomatoes.com/m/limits_of_control,True,The Limits of Control | Jim Jarmusch,The Limits of Control
After Life,https://resizing.flixster.com/uALeyyl5tLPXlPvaqvdr94L10Pw=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p23119_p_v8_aa.jpg,1998,"Arata,Erika Oda,Susumu Terajima",89,fresh,https://www.rottentomatoes.com/m/after_life,True,After Life |,After Life
